"MOVIE_originalName";"MOVIE_genre";"MOVIE_duration";"WORK_name";"WORK_creator";"WORK_createDate";"WORK_url";"WORK_URI"
"Maleficent: Mistress of Evil";"fantastico";;"MALEFICENT - SIGNORA DEL MALE";"Joachim Rønning";"2019";"https://it.wikipedia.org/wiki/Maleficent_-_Signora_del_male";"http://www.semanticweb.org/facilitiesEventsOntology/MALEFICENT%20-%20SIGNORA%20DEL%20MALE/Joachim%20R%C3%B8nning/2019/https%3A//it.wikipedia.org/wiki/Maleficent_-_Signora_del_male"
"Maleficent: Mistress of Evil";"fantastico";;"MALEFICENT - SIGNORA DEL MALE";"Joachim Rønning";"2019";"https://it.wikipedia.org/wiki/Maleficent_-_Signora_del_male";"http://www.semanticweb.org/facilitiesEventsOntology/MALEFICENT%20-%20SIGNORA%20DEL%20MALE/Joachim%20R%C3%B8nning/2019/https%3A//it.wikipedia.org/wiki/Maleficent_-_Signora_del_male"
"Maleficent: Mistress of Evil";"fantastico";;"MALEFICENT - SIGNORA DEL MALE";"Joachim Rønning";"2019";"https://it.wikipedia.org/wiki/Maleficent_-_Signora_del_male";"http://www.semanticweb.org/facilitiesEventsOntology/MALEFICENT%20-%20SIGNORA%20DEL%20MALE/Joachim%20R%C3%B8nning/2019/https%3A//it.wikipedia.org/wiki/Maleficent_-_Signora_del_male"
"Maleficent: Mistress of Evil";"fantastico";;"MALEFICENT - SIGNORA DEL MALE";"Joachim Rønning";"2019";"https://it.wikipedia.org/wiki/Maleficent_-_Signora_del_male";"http://www.semanticweb.org/facilitiesEventsOntology/MALEFICENT%20-%20SIGNORA%20DEL%20MALE/Joachim%20R%C3%B8nning/2019/https%3A//it.wikipedia.org/wiki/Maleficent_-_Signora_del_male"
"Maleficent: Mistress of Evil";"fantastico";;"MALEFICENT - SIGNORA DEL MALE";"Joachim Rønning";"2019";"https://it.wikipedia.org/wiki/Maleficent_-_Signora_del_male";"http://www.semanticweb.org/facilitiesEventsOntology/MALEFICENT%20-%20SIGNORA%20DEL%20MALE/Joachim%20R%C3%B8nning/2019/https%3A//it.wikipedia.org/wiki/Maleficent_-_Signora_del_male"
"Maleficent: Mistress of Evil";"fantastico";;"MALEFICENT - SIGNORA DEL MALE";"Joachim Rønning";"2019";"https://it.wikipedia.org/wiki/Maleficent_-_Signora_del_male";"http://www.semanticweb.org/facilitiesEventsOntology/MALEFICENT%20-%20SIGNORA%20DEL%20MALE/Joachim%20R%C3%B8nning/2019/https%3A//it.wikipedia.org/wiki/Maleficent_-_Signora_del_male"
"Maleficent: Mistress of Evil";"fantastico";;"MALEFICENT - SIGNORA DEL MALE";"Joachim Rønning";"2019";"https://it.wikipedia.org/wiki/Maleficent_-_Signora_del_male";"http://www.semanticweb.org/facilitiesEventsOntology/MALEFICENT%20-%20SIGNORA%20DEL%20MALE/Joachim%20R%C3%B8nning/2019/https%3A//it.wikipedia.org/wiki/Maleficent_-_Signora_del_male"
"Maleficent: Mistress of Evil";"fantastico";;"MALEFICENT - SIGNORA DEL MALE";"Joachim Rønning";"2019";"https://it.wikipedia.org/wiki/Maleficent_-_Signora_del_male";"http://www.semanticweb.org/facilitiesEventsOntology/MALEFICENT%20-%20SIGNORA%20DEL%20MALE/Joachim%20R%C3%B8nning/2019/https%3A//it.wikipedia.org/wiki/Maleficent_-_Signora_del_male"
"Maleficent: Mistress of Evil";"fantastico";;"MALEFICENT - SIGNORA DEL MALE";"Joachim Rønning";"2019";"https://it.wikipedia.org/wiki/Maleficent_-_Signora_del_male";"http://www.semanticweb.org/facilitiesEventsOntology/MALEFICENT%20-%20SIGNORA%20DEL%20MALE/Joachim%20R%C3%B8nning/2019/https%3A//it.wikipedia.org/wiki/Maleficent_-_Signora_del_male"
"Maleficent: Mistress of Evil";"fantastico";;"MALEFICENT - SIGNORA DEL MALE";"Joachim Rønning";"2019";"https://it.wikipedia.org/wiki/Maleficent_-_Signora_del_male";"http://www.semanticweb.org/facilitiesEventsOntology/MALEFICENT%20-%20SIGNORA%20DEL%20MALE/Joachim%20R%C3%B8nning/2019/https%3A//it.wikipedia.org/wiki/Maleficent_-_Signora_del_male"
